lambda	P0_exp	Pn_exp	Q_exp	A_exp	k_exp	P0_th	Pn_th	Q_th	A_th	k_th
2.00	0.368	0.000	1.000	2.000	1.000	0.368	0.003	0.997	1.994	0.997
4.00	0.138	0.040	0.960	3.840	1.920	0.138	0.037	0.963	3.853	1.927
6.00	0.054	0.040	0.960	5.760	2.880	0.054	0.110	0.890	5.340	2.670
8.00	0.023	0.140	0.860	6.880	3.440	0.023	0.199	0.801	6.407	3.204
10.00	0.011	0.280	0.720	7.200	3.600	0.011	0.285	0.715	7.151	3.576
12.00	0.006	0.400	0.600	7.200	3.600	0.006	0.360	0.640	7.675	3.838
14.00	0.003	0.320	0.680	9.520	4.760	0.003	0.425	0.575	8.054	4.027
16.00	0.002	0.400	0.600	9.600	4.800	0.002	0.479	0.521	8.336	4.168
18.00	0.001	0.480	0.520	9.360	4.680	0.001	0.525	0.475	8.552	4.276
20.00	0.001	0.420	0.580	11.600	5.800	0.001	0.564	0.436	8.721	4.360
