lambda, theorP0, expP0, theorPR, expPR, theorQ, expQ, theorA, expA, theorK, expK
2,0000, 0,3681, 0,3894, 0,0031, 0,0000, 0,9969, 1,0000, 1,9939, 1,6202, 0,9969, 0,8101
4,0000, 0,1376, 0,1590, 0,0367, 0,0100, 0,9633, 0,9900, 3,8532, 3,3265, 1,9266, 1,6633
6,0000, 0,0543, 0,0640, 0,1101, 0,1000, 0,8899, 0,9000, 5,3397, 4,9394, 2,6698, 2,4697
8,0000, 0,0233, 0,0230, 0,1991, 0,2600, 0,8009, 0,7400, 6,4075, 6,7921, 3,2037, 3,3961
10,0000, 0,0109, 0,0151, 0,2849, 0,1800, 0,7151, 0,8200, 7,1513, 6,6049, 3,5757, 3,3025
12,0000, 0,0056, 0,0094, 0,3604, 0,2900, 0,6396, 0,7100, 7,6752, 7,2783, 3,8376, 3,6392
14,0000, 0,0030, 0,0056, 0,4247, 0,3800, 0,5753, 0,6200, 8,0539, 7,4744, 4,0270, 3,7372
16,0000, 0,0018, 0,0123, 0,4790, 0,3800, 0,5210, 0,6200, 8,3359, 8,1397, 4,1679, 4,0698
18,0000, 0,0011, 0,0061, 0,5249, 0,4100, 0,4751, 0,5900, 8,5517, 7,8291, 4,2758, 3,9145
20,0000, 0,0007, 0,0074, 0,5640, 0,4800, 0,4360, 0,5200, 8,7210, 8,3227, 4,3605, 4,1613
