λ	Теор.P0	Эксп.P0	Теор.Pn	Эксп.Pn	Теор.Q	Эксп.Q	Теор.A	Эксп.A	Теор.K	Эксп.K
2,00	0,3681	0,0004	0,0031	0,0000	0,9969	1,0000	1,9939	2,0000	0,9969	1,0000
4,00	0,1376	0,0003	0,0367	0,0000	0,9633	1,0000	3,8532	4,0000	1,9266	2,0000
6,00	0,0543	0,0107	0,1101	0,0360	0,8899	0,9640	5,3397	5,7840	2,6698	2,8920
8,00	0,0233	0,0035	0,1991	0,1320	0,8009	0,8680	6,4075	6,9440	3,2037	3,4720
10,00	0,0109	0,0041	0,2849	0,2120	0,7151	0,7880	7,1513	7,8800	3,5757	3,9400
12,00	0,0056	0,0011	0,3604	0,2520	0,6396	0,7480	7,6752	8,9760	3,8376	4,4880
14,00	0,0030	0,0005	0,4247	0,3120	0,5753	0,6880	8,0539	9,6320	4,0270	4,8160
16,00	0,0018	0,0012	0,4790	0,4000	0,5210	0,6000	8,3359	9,6000	4,1679	4,8000
18,00	0,0011	0,0031	0,5249	0,4160	0,4751	0,5840	8,5517	10,5120	4,2758	5,2560
20,00	0,0007	0,0031	0,5640	0,4960	0,4360	0,5040	8,7210	10,0800	4,3605	5,0400
22,00	0,0004	0,0043	0,5974	0,4760	0,4026	0,5240	8,8567	11,5280	4,4283	5,7640
